SKU_종이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종이류 우선 정비본입니다. 구가격과 구품절 상태는 현재 운영 값이 아니라 과거 참고값입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sku_code_draft,product_code,제품군,SKU명,규격유형,가로_mm,세로_mm,높이_mm,지름_mm,띠길이_mm,띠폭_mm,색상,재질,1차포장수량,1차포장단위,2차포장수량,2차포장단위,판매단위수량,판매단위,구제품단가_부가세별도,구판매가격_부가세별도,구상태,공식사이트등재,공식사이트표기,검증상태,검증메모,원본행,출처_구엑셀,출처_공식사이트
S-EMBO-003,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 300mm,정팔각,300,300,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 300×300mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,76,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-004,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 310mm,정팔각,310,310,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 310×310mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,77,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-005,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 330mm,정팔각,330,330,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 330×330mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,78,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-006,P-PPR-008,엠보 식품지,엠보 식품지 정팔각 450mm,정팔각,450,450,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정팔각 450×450mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,79,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-007,P-PPR-008,엠보 식품지,엠보 식품지 정사각 250mm,정사각,250,250,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 250×250mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,80,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-008,P-PPR-008,엠보 식품지,엠보 식품지 정사각 275mm,정사각,275,275,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 275×275mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,81,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-009,P-PPR-008,엠보 식품지,엠보 식품지 정사각 300mm,정사각,300,300,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 300×300mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,82,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-010,P-PPR-008,엠보 식품지,엠보 식품지 정사각 310mm,정사각,310,310,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 310×310mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,83,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-011,P-PPR-008,엠보 식품지,엠보 식품지 정사각 330mm,정사각,330,330,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 330×330mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,84,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-EMBO-012,P-PPR-008,엠보 식품지,엠보 식품지 정사각 450mm,정사각,450,450,,,,,흰색,식품지,100,장/1묶음,,2차 포장 안함,1,묶음/1상자,,,기재없음,예,정사각 450×450mm / 식품지 / 주로 피자 시트지,부분확인,구엑셀 재질 공란을 공식사이트의 식품지로 보완,85,종이 제품군 품목 목록.xlsx,https://hjcorn.co.kr/20
S-MUFF-032,P-PPR-003,머핀컵,머핀컵 55mm 파랑,원형,,,45,55,,,파랑,노루지,,,,,,,,,사이트 취소선 표기,예,55mm / 높이 45mm / 파랑 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-033,P-PPR-003,머핀컵,머핀컵 55mm 차콜파랑,원형,,,45,55,,,차콜파랑,노루지,,,,,,,,,사이트 추가 후보,예,55mm / 높이 45mm / 차콜파랑 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-034,P-PPR-003,머핀컵,머핀컵 55mm 분홍 꽃무늬,원형,,,45,55,,,분홍 꽃무늬,노루지,,,,,,,,,사이트 추가 후보,예,55mm / 높이 45mm / 분홍 꽃무늬 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-035,P-PPR-003,머핀컵,머핀컵 55mm 연초록 꽃무늬,원형,,,45,55,,,연초록 꽃무늬,노루지,,,,,,,,,사이트 추가 후보,예,55mm / 높이 45mm / 연초록 꽃무늬 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-036,P-PPR-003,머핀컵,머핀컵 55mm 갈색 빵무늬,원형,,,45,55,,,갈색 빵무늬,노루지,,,,,,,,,사이트 추가 후보,예,55mm / 높이 45mm / 갈색 빵무늬 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-037,P-PPR-003,머핀컵,머핀컵 55mm 분홍 빵무늬,원형,,,45,55,,,분홍 빵무늬,노루지,,,,,,,,,사이트 추가 후보,예,55mm / 높이 45mm / 분홍 빵무늬 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
S-MUFF-038,P-PPR-003,머핀컵,머핀컵 45mm 주황,원형,,,40,45,,,주황,노루지,,,,,,,,,사이트 취소선 표기,예,45mm / 높이 40mm / 주황 / 노루지,검증필요,공식사이트에는 등재되나 구엑셀 포장·가격 정보 없음; 현재 생산·재고 여부 확인 필요,,,https://hjcorn.co.kr/20
